Category,Success,SPL,Experiment
bed,0.36363636363636365,0.17948265661905138,sem_exp_baseline
tv_monitor,0.35,0.18618094624253845,sem_exp_baseline
chair,0.3858267716535433,0.1890253833357701,sem_exp_baseline
toilet,0.3524590163934426,0.1940662493671155,sem_exp_baseline
sofa,0.3548387096774194,0.18734602529036246,sem_exp_baseline
plant,0.37142857142857144,0.1925374634949905,sem_exp_baseline
bed,0.4745762711864407,0.20990337094352454,fbe_baseline
tv_monitor,0.47706422018348627,0.20813772507497358,fbe_baseline
chair,0.49606299212598426,0.22455562931457504,fbe_baseline
toilet,0.4434782608695652,0.19008044302633104,fbe_baseline
plant,0.4423076923076923,0.22807398348570343,fbe_baseline
sofa,0.4015748031496063,0.18316424244757512,fbe_baseline
bed,0.45,0.2236933885619477,l3mvn_baseline
toilet,0.4576271186440678,0.21375918492393362,l3mvn_baseline
tv_monitor,0.5045045045045045,0.2214920102411013,l3mvn_baseline
sofa,0.4609375,0.19729392413458394,l3mvn_baseline
chair,0.49242424242424243,0.23128102260618574,l3mvn_baseline
plant,0.411214953271028,0.21705104659498983,l3mvn_baseline
bed,0.46218487394957986,0.2063008374081727,llm_pos_no_cot
tv_monitor,0.4818181818181818,0.19013463422284105,llm_pos_no_cot
chair,0.544,0.24220165301341265,llm_pos_no_cot
toilet,0.46153846153846156,0.1903041100779443,llm_pos_no_cot
plant,0.4811320754716981,0.2267533215366763,llm_pos_no_cot
sofa,0.5078125,0.22824844526849083,llm_pos_no_cot
bed,0.4793388429752066,0.2044223187874942,llm_pos_cot
tv_monitor,0.4528301886792453,0.17926311785120339,llm_pos_cot
chair,0.5,0.23253834831267747,llm_pos_cot
toilet,0.4152542372881356,0.1862984230732447,llm_pos_cot
plant,0.44761904761904764,0.23472391000278228,llm_pos_cot
sofa,0.48031496062992124,0.22569058184487062,llm_pos_cot
bed,0.44537815126050423,0.20211999573795975,llm_pos_neg_cot
tv_monitor,0.42857142857142855,0.17996845868922806,llm_pos_neg_cot
chair,0.5080645161290323,0.24097838762501747,llm_pos_neg_cot
toilet,0.4482758620689655,0.2150785234306212,llm_pos_neg_cot
plant,0.4807692307692308,0.2293182381869145,llm_pos_neg_cot
sofa,0.5078125,0.2379891074724669,llm_pos_neg_cot
bed,0.48739495798319327,0.22090921774619082,llm_direct_selection
tv_monitor,0.4774774774774775,0.20753002261019743,llm_direct_selection
chair,0.4921875,0.23846414391565698,llm_direct_selection
toilet,0.49572649572649574,0.2171110983881444,llm_direct_selection
plant,0.47619047619047616,0.2557047438297248,llm_direct_selection
sofa,0.48031496062992124,0.22389196751276277,llm_direct_selection
